1500600001[]
1500600002[]
1500600003[450 77 18 36 0 0 0; 27 76 20 36 51 0 0; ]
1500600004[450 77 18 36 0 0 0; 29 77 19 35 51 0 0; ]
1500600005[450 77 18 36 0 0 0; 30 77 19 35 51 0 0; ]
1500600006[450 77 18 36 0 0 0; 31 77 18 35 51 0 0; ]
1500600007[450 77 18 36 0 0 0; 33 78 18 35 51 0 0; ]
1500600008[]
1500600009[33 77 20 39 1 0 0; 451 77 17 36 5 0 0; ]
1500600010[34 77 20 39 1 0 0; 451 77 17 36 5 0 0; ]
1500600011[35 77 20 39 1 0 0; 451 77 17 36 5 0 0; ]
1500600012[36 77 20 39 1 0 0; 451 77 17 36 5 0 0; ]
1500600013[37 77 20 39 1 0 0; 451 78 17 36 5 0 0; ]
1500600014[38 77 20 39 1 0 0; 451 78 17 36 5 0 0; ]
1500600015[39 77 20 39 1 0 0; 451 78 17 35 5 0 0; ]
1500600016[39 77 20 39 1 0 0; 451 78 17 35 5 0 0; ]
1500600017[40 77 20 39 1 0 0; 451 78 17 35 5 0 0; ]
1500600018[41 77 20 39 1 0 0; 451 78 17 35 5 0 0; ]
1500600019[42 77 20 39 1 0 0; 451 78 17 35 5 0 0; ]
1500600020[43 77 20 39 1 0 0; 451 79 17 35 5 0 0; ]
1500600021[44 77 20 39 1 0 0; 451 79 17 34 5 0 0; ]
1500600022[44 77 20 39 1 0 0; 451 79 17 34 5 0 0; ]
1500600023[45 77 20 39 1 0 0; 451 79 17 34 5 0 0; ]
1500600024[46 77 20 39 1 0 0; 451 79 17 34 5 0 0; ]
1500600025[46 77 20 39 1 0 0; 451 79 17 34 5 0 0; ]
1500600026[47 77 20 39 1 0 0; 451 79 17 34 5 0 0; ]
1500600027[48 77 20 39 1 0 0; 451 79 17 33 5 0 0; ]
1500600028[48 77 20 39 1 0 0; 451 80 17 33 5 0 0; ]
1500600029[49 77 20 39 1 1 0; 451 80 17 33 5 0 0; ]
1500600030[49 77 20 39 1 1 0; 452 80 17 33 5 0 0; ]
1500600031[49 77 20 39 1 1 0; 452 80 17 33 5 0 0; ]
1500600032[50 77 20 39 1 1 0; 452 80 17 33 5 0 0; ]
1500600033[50 77 20 39 1 1 0; 452 80 17 33 5 0 0; ]
1500600034[50 77 20 39 1 1 0; 452 80 17 32 5 0 0; ]
1500600035[50 77 20 39 1 1 0; 452 80 17 32 5 0 0; ]
1500600036[50 77 20 39 1 1 0; 452 80 17 32 5 0 0; ]
1500600037[50 77 20 39 1 1 0; 452 80 17 32 5 0 0; ]
1500600038[50 77 20 39 1 1 0; 452 81 17 32 5 0 0; ]
1500600039[50 77 20 39 1 1 0; 452 81 17 32 5 0 0; ]
1500600040[50 77 20 39 1 1 0; 452 81 17 32 5 0 0; ]
1500600041[50 77 20 39 1 1 0; 452 81 17 32 5 0 0; ]
1500600042[50 77 20 39 1 1 0; 452 81 17 32 5 0 0; ]
1500600043[50 77 20 39 1 1 0; 452 81 17 31 5 0 0; ]
