1500000001[]
1500000002[]
1500000003[429 81 16 34 1 0 0; ]
1500000004[428 81 16 34 1 0 0; ]
1500000005[428 81 16 34 1 0 0; ]
1500000006[428 81 16 34 1 0 0; ]
1500000007[428 80 16 34 1 0 0; ]
1500000008[428 80 16 34 1 0 0; ]
1500000009[427 80 16 34 1 0 0; ]
1500000010[427 80 16 34 1 0 0; ]
1500000011[427 80 16 34 1 0 0; ]
1500000012[426 80 16 34 1 0 0; ]
1500000013[426 80 16 34 1 0 0; ]
1500000014[426 81 16 34 1 0 0; ]
1500000015[425 81 16 34 1 0 0; ]
1500000016[425 81 16 34 1 0 0; ]
1500000017[424 81 16 34 1 0 0; ]
1500000018[423 81 15 34 1 0 0; ]
1500000019[423 81 16 34 1 0 0; ]
1500000020[422 81 16 34 1 0 0; ]
1500000021[421 81 16 34 1 0 0; ]
1500000022[420 81 16 34 1 0 0; ]
1500000023[419 81 16 35 1 0 0; ]
1500000024[418 81 16 35 1 0 0; ]
1500000025[417 81 16 35 1 0 0; ]
1500000026[415 81 16 35 1 0 0; ]
1500000027[414 81 16 35 1 0 0; ]
1500000028[413 81 16 35 1 0 0; ]
1500000029[411 80 16 36 1 0 0; ]
1500000030[410 80 16 36 1 0 0; ]
1500000031[408 80 16 36 1 0 0; ]
1500000032[407 80 17 36 1 0 0; ]
1500000033[405 80 17 36 1 0 0; ]
1500000034[403 80 17 36 1 0 0; ]
1500000035[402 80 17 36 1 0 0; ]
1500000036[400 80 17 36 1 0 0; ]
1500000037[398 80 17 36 1 0 0; ]
1500000038[396 80 17 36 1 0 0; ]
1500000039[395 80 18 36 1 0 0; ]
1500000040[393 80 18 36 1 0 0; ]
1500000041[391 80 18 36 1 0 0; ]
1500000042[389 80 18 36 1 0 0; ]
1500000043[388 79 18 36 1 0 0; ]
1500000044[386 79 18 36 1 0 0; ]
1500000045[384 78 18 36 1 0 0; ]
1500000046[382 78 19 37 1 0 0; ]
1500000047[381 78 19 37 1 0 0; ]
1500000048[379 78 19 38 1 0 0; ]
1500000049[377 77 19 39 1 0 0; ]
1500000050[375 76 19 39 1 0 0; ]
1500000051[374 76 19 40 1 0 0; ]
1500000052[372 75 19 40 1 0 0; ]
1500000053[371 75 19 40 1 0 0; ]
1500000054[371 75 19 40 1 0 0; ]
1500000055[371 75 19 40 1 0 0; ]
1500000056[371 75 19 40 1 0 0; ]
1500000057[371 75 19 40 1 0 0; ]
1500000058[371 75 19 40 1 0 0; ]
1500000059[371 75 19 40 1 0 0; ]
1500000060[371 75 19 40 1 0 0; ]
1500000061[372 76 19 40 1 0 0; ]
1500000062[372 76 19 40 1 0 0; ]
1500000063[372 76 19 40 1 0 0; ]
1500000064[372 76 19 42 1 0 0; ]
1500000065[372 75 19 42 1 0 0; ]
1500000066[372 75 19 43 1 0 0; ]
1500000067[357 75 19 42 1 0 0; ]
1500000068[356 74 20 42 1 0 0; ]
1500000069[355 74 20 42 1 0 0; ]
1500000070[354 74 20 42 1 0 0; ]
1500000071[353 74 20 42 1 0 0; ]
1500000072[353 74 20 42 1 0 0; ]
1500000073[352 74 20 42 1 0 0; ]
1500000074[351 74 20 42 1 0 0; ]
1500000075[350 74 21 42 1 0 0; ]
1500000076[350 75 21 42 1 0 0; ]
1500000077[349 75 21 42 1 0 0; ]
1500000078[348 76 21 43 1 0 0; ]
1500000079[348 76 20 43 1 0 0; ]
1500000080[347 76 20 43 1 0 0; ]
1500000081[347 76 20 43 1 0 0; ]
1500000082[346 76 19 43 1 0 0; ]
1500000083[346 76 19 44 1 0 0; ]
1500000084[345 76 19 44 1 0 0; ]
1500000085[344 76 19 44 1 0 0; ]
1500000086[343 77 19 44 1 0 0; ]
1500000087[342 77 19 44 1 0 0; ]
1500000088[341 77 19 44 1 0 0; ]
1500000089[340 77 19 44 1 0 0; ]
1500000090[338 77 20 44 1 0 0; ]
1500000091[337 77 20 44 1 0 0; ]
1500000092[335 77 20 44 1 0 0; ]
1500000093[333 77 20 45 1 0 0; ]
1500000094[330 77 21 44 1 0 0; ]
1500000095[326 77 22 43 1 0 0; ]
1500000096[324 77 23 43 1 0 0; ]
1500000097[321 77 24 43 1 0 0; ]
1500000098[319 77 24 44 1 0 0; ]
1500000099[317 77 24 45 1 0 0; ]
1500000100[315 77 24 46 1 0 0; ]
1500000101[312 77 23 46 1 0 0; ]
1500000102[310 77 23 47 1 0 0; ]
1500000103[307 77 23 47 1 0 0; ]
1500000104[305 77 23 47 1 0 0; ]
1500000105[302 77 24 47 1 0 0; ]
1500000106[300 77 24 47 1 0 0; ]
1500000107[297 77 25 48 1 0 0; ]
1500000108[294 77 26 48 1 0 0; ]
1500000109[291 77 26 48 1 0 0; ]
1500000110[287 77 26 48 1 0 0; ]
1500000111[284 77 26 48 1 0 0; ]
1500000112[281 77 26 48 1 0 0; ]
1500000113[278 77 26 48 1 0 0; ]
1500000114[275 77 26 48 1 0 0; ]
1500000115[271 77 26 48 1 0 0; ]
1500000116[268 77 26 48 1 0 0; ]
1500000117[265 77 26 48 1 0 0; ]
1500000118[262 77 27 48 1 0 0; ]
1500000119[258 77 27 48 1 0 0; ]
1500000120[255 77 27 48 1 0 0; ]
1500000121[252 77 27 48 1 0 0; ]
1500000122[249 77 27 48 1 0 0; ]
1500000123[245 77 27 48 1 0 0; ]
1500000124[241 76 28 48 1 0 0; ]
1500000125[237 76 28 49 1 0 0; ]
1500000126[232 76 29 49 1 0 0; ]
1500000127[228 75 30 49 1 0 0; ]
1500000128[224 75 30 50 1 0 0; ]
1500000129[220 74 30 50 1 0 0; ]
1500000130[216 74 31 50 1 0 0; ]
1500000131[212 74 31 50 1 0 0; ]
1500000132[208 74 31 50 1 0 0; ]
1500000133[204 74 31 50 1 0 0; ]
1500000134[200 74 31 50 1 0 0; ]
1500000135[196 74 31 50 1 0 0; ]
1500000136[193 74 31 50 1 0 0; ]
1500000137[189 73 31 51 1 0 0; ]
1500000138[186 71 31 53 1 0 0; ]
1500000139[183 72 29 56 1 1 0; ]
1500000140[180 72 27 56 1 1 0; ]
1500000141[177 70 27 54 1 1 0; ]
1500000142[174 70 27 54 1 1 0; ]
1500000143[170 70 25 55 1 1 0; ]
1500000144[166 69 24 55 1 1 0; ]
1500000145[161 68 25 55 1 1 0; ]
1500000146[156 66 27 54 1 1 0; ]
1500000147[]
1500000148[]
1500000149[]
1500000150[]
1500000151[]
1500000152[]
1500000153[]
1500000154[]
1500000155[]
1500000156[]
1500000157[]
1500000158[]
1500000159[]
1500000160[]
1500000161[]
1500000162[]
1500000163[]
1500000164[]
1500000165[]
1500000166[]
1500000167[56 68 31 56 2 1 0; ]
1500000168[51 68 31 57 2 1 0; ]
1500000169[45 68 32 57 2 1 0; ]
1500000170[40 69 32 58 2 1 0; ]
1500000171[34 69 33 58 2 0 0; ]
1500000172[29 68 33 58 2 0 0; ]
1500000173[24 66 33 58 2 0 0; ]
1500000174[19 66 33 58 2 0 0; ]
1500000175[14 66 33 59 2 0 0; ]
1500000176[9 66 33 61 2 0 0; 423 69 25 47 4 1 0; ]
1500000177[4 66 33 63 2 0 0; 423 69 27 47 4 1 0; ]
1500000178[]
1500000179[422 68 27 50 5 1 0; ]
