0600200001[]
0600200002[]
0600200003[]
0600200004[119 126 19 39 0 0 1; 70 118 19 41 1 0 1; ]
0600200005[118 129 19 39 0 0 1; 69 117 19 41 1 0 1; ]
0600200006[118 129 19 39 0 0 1; 68 116 19 41 1 0 1; ]
0600200007[118 125 19 41 0 0 1; 68 116 19 41 1 0 1; ]
0600200008[117 124 19 39 0 0 1; 67 116 19 41 1 0 1; ]
0600200009[115 126 22 41 0 0 1; 66 116 19 41 1 0 1; ]
0600200010[114 127 21 41 0 0 1; 65 117 19 42 1 0 1; ]
0600200011[114 127 21 41 0 0 1; 65 118 19 42 1 0 1; ]
0600200012[117 123 20 42 0 0 1; 64 115 22 41 1 0 1; ]
0600200013[115 124 20 42 0 0 1; 63 116 21 41 1 0 1; ]
0600200014[113 126 21 42 0 0 1; 63 117 20 40 1 0 1; ]
0600200015[113 124 20 42 0 0 1; 62 116 21 41 1 0 1; ]
0600200016[114 122 20 42 0 0 1; 61 115 22 42 1 0 1; ]
0600200017[112 123 20 42 0 0 1; 60 117 20 42 1 0 1; ]
0600200018[110 128 21 40 0 0 1; 60 118 19 42 1 0 1; ]
0600200019[110 126 20 43 0 0 1; 59 117 20 44 1 0 1; ]
0600200020[112 126 20 41 0 0 1; 59 119 20 43 1 0 1; ]
0600200021[110 126 20 41 0 0 1; 59 122 20 42 1 0 1; ]
0600200022[110 130 20 43 0 0 1; 59 123 20 41 1 0 1; ]
0600200023[110 129 20 43 0 0 1; 59 121 19 42 1 0 1; ]
0600200024[110 129 20 43 0 0 1; 58 122 19 43 1 0 1; ]
0600200025[110 130 20 43 0 0 1; 57 124 19 44 1 0 1; ]
0600200026[110 132 20 43 0 0 1; 56 125 19 45 1 0 1; ]
0600200027[109 134 20 43 0 0 1; 55 127 19 45 1 0 1; ]
0600200028[108 136 21 44 0 0 1; 54 128 20 45 1 0 1; ]
0600200029[108 138 21 44 0 0 1; 53 129 21 45 1 0 1; ]
0600200030[108 140 21 44 0 0 1; 53 131 21 46 1 0 1; ]
0600200031[107 142 21 44 0 0 1; 53 132 21 47 1 0 1; ]
0600200032[107 144 20 43 0 0 1; 53 134 21 48 1 0 1; ]
0600200033[106 146 20 43 0 0 1; 51 138 20 46 1 0 1; ]
0600200034[106 142 22 46 0 0 1; 51 134 21 47 1 0 1; ]
0600200035[106 139 21 45 0 0 1; 51 130 21 46 1 0 1; ]
0600200036[105 138 21 45 0 0 1; 51 130 20 44 1 0 1; ]
0600200037[104 135 21 44 0 0 1; 50 130 19 43 1 0 1; ]
0600200038[105 132 20 45 0 0 1; 50 122 20 46 1 0 1; ]
0600200039[105 129 20 46 0 0 1; 50 120 19 46 1 0 1; ]
0600200040[104 128 21 47 0 0 1; 49 119 19 46 1 0 1; ]
0600200041[103 127 22 47 0 0 1; 49 118 19 46 1 0 1; ]
0600200042[102 126 22 48 0 0 1; 47 118 19 47 1 0 1; ]
0600200043[102 129 20 44 0 0 1; 46 118 19 48 1 0 1; ]
0600200044[102 127 20 45 0 0 1; 47 119 19 47 1 0 1; ]
0600200045[103 126 21 47 0 0 1; 49 119 19 46 1 0 1; ]
0600200046[103 130 22 48 0 0 1; 48 123 19 47 1 0 1; ]
0600200047[103 135 21 46 0 0 1; 48 127 19 48 1 0 1; ]
0600200048[104 136 21 46 0 0 1; 48 127 20 47 1 0 1; ]
0600200049[106 136 22 47 0 0 1; 49 128 20 47 1 0 1; ]
0600200050[105 140 22 46 0 0 1; 50 129 20 47 1 0 1; ]
0600200051[105 141 22 45 0 0 1; 50 130 20 47 1 0 1; ]
0600200052[106 139 22 45 0 0 1; 51 130 20 47 1 0 1; ]
0600200053[108 136 22 46 0 0 1; 51 128 20 47 1 0 1; ]
0600200054[109 134 22 46 0 0 1; 51 123 20 49 1 0 1; ]
0600200055[109 131 22 45 0 0 1; 52 121 20 49 1 0 1; ]
0600200056[109 130 22 45 0 0 1; 52 121 20 49 1 0 1; ]
0600200057[110 130 21 46 0 0 1; 52 121 20 49 1 0 1; ]
0600200058[111 130 21 47 0 0 1; 52 121 20 49 1 0 1; ]
0600200059[112 130 21 48 0 0 1; 52 123 21 49 1 0 1; ]
0600200060[113 131 21 49 0 0 1; 53 124 21 49 1 0 1; ]
0600200061[113 132 21 49 0 0 1; 53 125 22 49 1 0 1; ]
0600200062[113 134 21 49 0 0 1; 53 126 21 50 1 0 1; ]
0600200063[113 136 21 49 0 0 1; 54 126 21 51 1 0 1; ]
0600200064[114 139 22 48 0 0 1; 55 127 21 52 1 0 1; ]
0600200065[115 141 22 50 0 0 1; 57 130 21 52 1 0 1; ]
0600200066[117 142 22 51 0 0 1; 58 134 22 52 1 0 1; ]
0600200067[118 142 22 52 0 0 1; 58 136 22 52 1 0 1; ]
0600200068[118 142 22 52 0 0 1; 58 134 22 51 1 0 1; ]
0600200069[118 139 22 50 0 0 1; 58 129 22 51 1 0 1; ]
0600200070[118 135 22 48 0 0 1; 57 126 22 50 1 0 1; ]
0600200071[118 136 22 48 0 0 1; 58 126 22 50 1 0 1; ]
0600200072[118 137 22 48 0 0 1; 59 126 22 50 1 0 1; ]
0600200073[120 135 23 48 0 0 1; 60 125 21 51 1 0 1; ]
0600200074[121 135 23 48 0 0 1; 60 125 22 52 1 0 1; ]
0600200075[122 135 23 48 0 0 1; 60 125 22 52 1 0 1; ]
0600200076[122 135 23 48 0 0 1; 60 125 23 52 1 0 1; ]
0600200077[122 135 23 48 0 0 1; 61 125 23 53 1 0 1; ]
0600200078[122 135 23 48 0 0 1; 61 126 23 52 1 0 1; ]
0600200079[121 139 23 49 0 0 1; 61 128 23 52 1 0 1; ]
0600200080[123 139 23 50 0 0 1; 61 130 23 52 1 0 1; ]
0600200081[124 139 23 50 0 0 1; 61 131 22 52 1 0 1; ]
0600200082[123 139 23 52 0 0 1; 61 131 22 52 1 0 1; ]
0600200083[124 139 23 51 0 0 1; 62 131 22 52 1 0 1; ]
0600200084[126 139 22 49 0 0 1; 62 131 22 53 1 0 1; ]
